Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Made of light: the art of light and architecture,"Major, Mark","Basel, Switzerland : Birkha¨user, c2005.",Light in Architecure|Lighting - Architectural and Decorative,729.28 MAJ,Brisbane,,3/06/2008
Maharam agenda,"Maharam, Michael","Germany: Muller Publishers, 2011",Textiles in Architecture|Textile Design,729 MAH,Sydney,8/06/2012,
Maison: Christian Liagre,"Ypma, Herbert","London: Thames & Hudson, 2004","Liagre, Christian",720. 92 LIA,Brisbane,,6/11/2007
Make it real: architecture as enactment,"Jacob, Sam","[Moscow]: Strelka Press, 2012",,Strelka Press - Stored temporarily during 2017 fit-out # SYD03583908,Sydney,3/10/2015,
Making of Colonial Stadium Melbourne Docklands,"Leonard, Mike","Melbourne: Lenscape, 2002","Jackson, Daryl|BLSA (Bligh Lobb Sports Architecture)|Architecture - Melbourne|Sports Buildings - Australia|Stadiums - Australia",725.8043 LEO,Brisbane|Sydney,22/02/2006,
Making public private partnerships work : building relationships and understanding cultures,"Geddes, Michael","Aldershot, Harts: Gower, 2005",Private Public Partnerships (PPP),338.73 0941 GED,Sydney,20/04/2006,
Management of quality in construction,"Ashford, John","London: E&FN Spon, 1989",Quality Assurance,720.68 ASH,Sydney,8/08/2006,
Managing teams for high performance,,"USA: Harvard Business Review, 2007",Teams|Management,658.402 MAN,Brisbane,,
Managing the brief for better design,"Blyth, Alastair|Worthington, John","New York: Routledge, 2010",Architectural Practice|Design Briefs,720.68 BLY,Brisbane|Sydney,2/11/2010,30/01/2020
Managing the professional service firm,"Maister, David","New York: Free Press, 1993",Architectural Practice|Management,658 MAI,Sydney,11/04/2007,
Manual of multi-storey timber construction,"Kaufmann, Hermann","Munich: Detail, 2018",Timber Construction|Timber in Architecture|Multi-Storey Buildings,694.02 MAN,Brisbane,,24/05/2018
"Manual of museum planning: sustainable space, facilities, and operations","Lord, Barry (ed)","US: AltaMira Press, 2012",Museums,727.6 MAN,Sydney,12/01/2017,
Manual of recycling: buildings as sources of materials,"Hillebrandt, Annette et al","Munich: Detail Business Information, 2019",Building Materials|Recycling|Sustainable Architecture,693 DET,Brisbane|Sydney,2/09/2019,2/09/2019
Manual of section,Paul Lewis,"New York: Princeton Architectural Press, 2016",Architectural Sections|Architectural Details,724.6 LEW,Sydney,12/01/2017,
Manufacturing parametric acoustic surfaces,"Peters, Brady","Brady Peters, 2010",Acoustics|Building Materials,690 BRA,Sydney,12/02/2010,
Mapping : an illustrated guide to graphic navigational systems,"Fawcett-Tang, Roger (ed)|Owen, William","Switzerland: Rotovision, 2002",Graphic Design|Maps|Signage - Pictograms|Signs and Symbols,526 FAW,Sydney,7/31/2014,
Marc Newson,"Rawsthorn, Alice","London: Booth-Clibborn Editions, 1999","Furniture - Design|Newson, Marc",720.92 NEW,Brisbane,,Jan 2000 (Chris Clarke)
Marcel Breuer: design and architecture,"Breuer, Marcel","Germany: Vitra Design Museum, 2003","Breuer, Marcel|Architecture, Modern - 20th Century|Furniture - Design|Vitra Design Museum",720.92 BRE,Sydney,4/19/2011,
"Marimekko : fabrics, fashion, architecture",,"New Haven, Conn: Yale University Press, 2003",Textiles and Architecture|Textile Design|Costume Design|Marimekko Oy,747.24897 MAR,Brisbane,,8/08/2008
Mario Botta : architecture 1960 - 1985,"Dal Co, Francesco (ed)","New York: Rizzoli International Publications, 1985","Architecture - Switzerland|Botta, Mario",720.92 BOT,Brisbane,,
Mario Botta : buildings and projects 1961 - 1982,"Nicolin, Pierluigi","New York: Rizzoli International Publications, 1984","Architecture - Switzerland|Botta, Mario",720.92 BOT,Brisbane,,
"Marketing and communication for architects : fundamentals, strategies and practice","Haupt, Edgar (ed)","Basel: Birkhauser, 2002",Architectural Practice|Marketing,658.8 MAR,Sydney,8/08/2006,
Marte.Marte architects,,"Wien: Springer, 2008",Marte.Marte Architects,720.922 MAR,Sydney,6/02/2011,
Martha Schwartz : transfiguration of the commonplace,"Meyer, Elizabeth K|Landecker, Heidi","Washington: Spacemaker Press, 1997",Landscape Design|Gardens,712.092 MEY,Sydney,2/08/2006,
"Mass, identity, architecture: architectural writings of Jean Baudrillard","Baudrillard, Jean|Proto, Francesco (ed)","Chichester, West Sussex, England: Wiley Academy, 2003",,720.103 BAU,Sydney,2/03/2016,
Massive change,"Mau, Bruce|Leonard, Jennifer|Institute without Boundaries","London: Phaidon, 2004",Industrial Design|Massive Change Project|Social Change,745.2 MAU,Sydney,1/16/2012,
Mastering architecture : becoming a creative innovator in practice,"Van Schaik, Leon","Chichester, England: John Wiley & Sons, 2005","Architectural Theory|Architecture, Modern - 20th Century|Architecture, Modern - 21st Century",720.1 VAN,,,
Masterpieces hospital architecture and design,"Nickl-Weller, Christine|Nickl, Hans","Berlin: Braun, 2009",Hospitals - Design and Construction,725.51 NIC,Sydney,20/04/2009,
Material architecture : emergent materials for innovative buildings and ecological construction,"Fernandez, John","Amsterdam: Architectural Press / Elsevier, 2006",Building Materials - Environmental Aspects,691.547 FER,Sydney,5/12/2005,
"Material connexion : the global resource of new and innovative materials for architects, artists and designers","Beylerian, George M|Dent, Andrew","London : Thames & Hudson, 2005",Architecture and Technology|Construction Materials|Materials,690 BEY,Brisbane,9/08/2017,
Material index 09,,"Netherlands: Materia, 2009",Building Materials - Directories,690 MAT 2009,Sydney,19/01/2010,
Material performance: fibrous tectonics & architectural morphology,"menges, Achim","[California]: Harvard University Graduate School of Design, 2017",Building Materials - Performance|Fibre Composite Materials,690 HAR,Sydney,31/07/2017,
Material stone : constructions and technologies for contemporary architecture,"Mackler, Christoph (ed)","Basel: Birkhauser, 2004",Stone,691.2 MAT,Brisbane,,14/10/2008
Materiality 2021: brick and block in contemporary architecture,"Ringer, Ron (ed)","Sydney: Dry Dress Publishing, 2021",Bricks|Brickwork,693 MAT 2021,Brisbane|Sydney,1/06/2021,1/06/2021
Materiality: brick and block in Australian contemporary architecture,"Ringer, Ron (ed)|Brickworks","Sydney: Dry Press Publishing, 2015",Bricks|Brickwork,693 MAT,Brisbane|Sydney,6/25/2015,6/25/2015
Materials for architectural design,"Bell, Victoria|Rand. Patrick","London : Laurence King ; New York : Princeton Architectural Press, 2006",Glass|Plastics|Wood|Metals|Concrete,721.044 BEL,Brisbane,,14/02/2011
Mathematics of the ideal villa and other essays,"Rowe, Colin","Massachusetts: MIT, 1976",Architectural Theory,720.1 ROW,Sydney,28/02/2006,
Max Dupain : modernist,,"Sydney : State Library of New South Wales, 2007",Architectural Photography,779.4 DUP,Sydney,21/01/2008,
Max Dupain: modernist,"Dupain, Max|State Library of New South Wales","Sydney: State Library of New South Wales, 2007",,779 DUP,Sydney,15/07/2010,
McCulloch's contemporary Aboriginal art : the complete guide,"McCulloch, Susan","Fitzroy, Vic. : McCulloch & McCulloch Australian Art Books, 2008",,704.039915 MCCU,Brisbane,,8/09/2009
Me++ : the cyborg self and the networked city,"Mitchell, William J","Cambridge, Mass.: MIT Press, 2003",Computer Networks - Social Aspects|Cyberspace,303.483 MIT,Sydney,21/03/2018,
Mecanoo,"Houben, Francine","Mulgrave, Vic.: Images Publishing Group,","Mecanoo|Architects - Netherlands|Houben, Francine",720.922 MEC,Brisbane,,
Medical design,"Fischer, Joachim (ed)","New York : Daab, 2006",Health Centres|Healthcare Buildings - Design and Construction|Medical Centres|Medical Clinics|Pharmacies,725.5 MED,Sydney,26/06/2008,
Medical practices: construction and design manual,"Meuser, Philipp (ed)","Berlin: DOM Publishers, 2010.",Medical Centres|Medical Clinics|Healthcare Buildings,725.51 MED,Sydney,12/02/2010,
Medical Space,,"Korea: Archiworld, 2009",Interior Design|Healthcare Buildings,725.5 INT,Sydney,12/09/2010,
Medicine by design: the architect and the modern hospital 1893-1943,"Adams, Annmarie","Meneapolis: University of Minnesota Press, 2008",Hospitals - Design and Construction - History|Hospitals - History,725.51 ADA,Sydney,26/06/2008,
Medium density housing in Australia,"Judd, Bruce|Dean, John","Canberra: RAIA, 1983",Medium Density Housing - Australia,728.310994 JUD,Brisbane,,
Melway Greater Melbourne street directory 2008,,"Melbourne: Melway, 2008",Street Directories,Reference,Sydney,2/12/2009,
Mental health first aid manual,"Kitchener, Betty","Melbourne: Mental Health First Aid Australia, 2017",Mental Health,616.8 KIT,Brisbane|Sydney,10/12/2019,10/12/2019
Metamorphoses,Veldhoen & Co,,Activity Based Working (ABW)|Interpolis Office Concept (IOC)|Office Buildings|Workplace Design,725.23 VEL,Sydney,14/07/2010,
Metamorphosis,Corticiera Amormin,"Portugal: Corticiera Amormin, 2013",Cork in Architecture,690 MET,Brisbane,,26/07/2018
Method of measurement for lettable area: commercial,Property Council of Australia (PCA),"Sydney: Property Council of Australia, 2008 [c1997]",Measurement,692.50994 MEA Reference,Brisbane|Sydney,3/05/2012,3/05/2012
Method of measurement for lettable area: residential,Property Council of Australia (PCA),"Sydney: Property Council of Australia, 2008",Measurement,692.50994 MEA Reference,Sydney,3/05/2012,
Metric handbook: planning and design data,"Littlefield, David","London: Routledge, 2012",Drawing Practice|Spatial Relationships,690.02 MET 2012 Reference,Brisbane|Sydney,5/24/2012,5/24/2012
Metric handbook: planning and design data,"Littlefield, David","Amsterdam: Elesevier, 2008",Drawing Practice|Spatial Relationships,690.02 MET 2008,Brisbane|Sydney,6/02/2008,29/01/2008
Metric handbook: planning and design data,"Littlefield, David","London: Routledge, 2018",Drawing Practice|Spatial Relationships,690.02 MET 2018 Reference,Brisbane|Sydney,12/02/2021,12/02/2021
"Metropolitan Canberra : policy plan, development plan",National Capital Development Commission,"Canberra: National Capital Development Commission, 1984",Urban Planning - Canberra|Canberra - History,Archives SYD01511323,Sydney,14/12/2006,
Metropolitan landscape architecture: urban parks and landscapes,"Steenbergen, Clemens M","Bussum, The Netherlands: Thoth Publishers, 2011",Urban Parks - History|Landscape Architecture|City Planning|Urban Planning,712.5 STE,Sydney,5/29/2014,
Michael Graves,,"Great Britain: Academy Editions, 1979","Architecture - USA|Graves, Michael",720.92 GRA,Brisbane,,30/05/2006
Mies van der Rohe,"Johnson, Philip","New York: Museum of Modern Art, 1947","Mies van der Rohe, Ludwig",720.92 MIE,Sydney,11/18/2013,
Mies van der Rohe: the Krefeld villas,"Kleinman, Kent|Van Duzer, Leslie","NY: Princeton Architectural Press, 2005","Bricks|Brickwork|Houses|Mies van der Rohe, Ludwig",728.8092 KLE,Sydney,4/03/2008,
"Mindstorms : children, computers, and powerful ideas","Papert, Seymour","NY: Basic Books, 1993",Computers in the Classroom,372.7 PAP,Sydney,11/10/2010,
Minimal living,"Pauwels, Wim","Belgium: Beta-Plus Publishing, 2008",Minimal Architecture|Houses - Design and Construction,728.37 PAU,Brisbane,,15/08/2008
Minimalism and colour: design source,,"New York: Collins Design, 2009",Colour in Architecture|Colour in Design,729 MIN,Sydney,12/02/2010,
Minimum,"Pawson, John","London: Phaidon Press, 1998","Pawson, John",720.92 PAW,Brisbane,,27/06/2007
Mobile generations / Office wars 2015,,"[London]: Orangebox, [2015]",Collaborative workplaces|Technological Innovations|Occupational Health and Safety|Flexible Working,725.23 MOB,Sydney,2/03/2016,
"Model business letters, e-mails and other business documents","Taylor, Shirley","London: Prentice Hall, 2004",Business Letters|Commercial Correspondence,651.75 TAY,Sydney,9/08/2006,
Models for regional transportation and land use planning,"Sharpe, R|Wright, T|Mitchell, J","Sydney: [NP], 198?","Traffic Management|Public Transport|Urban Planning|LNPA (Lawrence Nield & Partners Australia)|Nield, Lawrence",388.40994 MOD,Sydney,2/01/2007,
Modern apartment design,"Marriage, Guy (ed)","London : Routledge, 2022",Apartment Buildings|Engineered Wood,728.314 MOD,Sydney,6/14/2022,
Modern Architecture in Barcelona 1854 - 1939,"Mackay, David","Barcelona: Ernst and Sohn, 1989",Architecture - Spain - Barcelona,720.94672 MAC,Brisbane,,
Modern construction handbook,"Watts, Andrew","Berlin: Ambra, 2013",Construction Materials|Digital Architecture|Digital Fabrication,690 WAT,Sydney,5/19/2015,
Modern hospice design: the architecture of palliative care,"Worpole, Ken","New York: Routledge, 2009",Hospices|Palliative Care Facilities,725.51 WOR,Sydney,31/08/2009,
Modern retro; living with mid-century modern style,"Bingham, Neil|Weaving, Andrew","London : Ryland, Peters &  Small, 2000",Interior Design,747 BIN,Brisbane,,25/05/2011
Modern schools: a century of design for education,"Hille, R Thomas","Hoboken, N.J.: John Wiley and Sons, 2011",Schools,727 HIL,Sydney,3/17/2011,
Modernising secondary school buildings in Portugal,"Blyth, Alastair et al|Organisation for Economic Co-operation and Development (OECD)","Paris:OECD, 2012",Schools - Portugal|Schools - Secondary,727.10469 MOD,Sydney,8/06/2012,
"Modernism and Australia : documents on art, design and architecture 1917-1967","Stephen, Ann|McNamara, Andrew|Goad, Philip","Melbourne: The Miegunyah Press, 207",Art|Architecture - Australia - History|Design and Decoration,700.994 STE,Sydney,7/06/2007,
Modernism rediscovered,"Serraino, Pierluigi|Shulman, Julius","Koln: Taschen, 2000","Architecture, Modern - 20th Century|Architecture - USA|Modernism",720 SER,Brisbane,,Oct-01
"Monash University: The Law, Business and Economics Complex",Donovan Hill|OMA,"Donovan Hill / OMA, 2012",Law Schools|University Buildings - Australia,727.3 MON,Sydney,,28/02/2018
Monumental irony,"Bingham-Hall, Patrick","Sydney: Patrick Bingham-Hall, 1985",Architectural Photography,779 BIN,Sydney,9/08/2006,
More accessible housing for independent living : a guide to designing and adapting dwellings for the aged and people with disabilities,"Hunter, Rod","Melbourne: City of Sale, 1992",Disabled Access|Housing for the Aged|Houses - Design and Construction,725.56  HUN,Sydney,26/10/2006,
More than furniture : Wilkhahn an enterprise in its time,"Schwarz, Rudolf","Germany: Verlag form, 2000",Wilkhahn - History|Furniture,729 SCH,Sydney,25/05/2005,
Morpho-ecologies,"Hensel, Michael (ed)|Menges, Achim (ed)","London : Architectural Association, 2006",Architectural Theory - Morphism|Environmental Design,720.1 MOR,Brisbane|Sydney,29/05/2008,
"Mound Stand, Lord's Cricket Ground",,"London: Longman Group, 1991","Hopkins, Michael|Cricket Grounds|Stadiums - England
",725.8 MOU,Sydney,23/02/2006,
Move! best of gym design,Braun,"Switzerland: Braun Publishing AG, 2010",Gymnasiums|Spas,725.8 BRA,Sydney,7/29/2014,
MSJ : the first forty years,,"Melbourne: Architecture Media, 2007",Architects - Australia|MSJ (McConnel Smith & Johnson),720.922 MSJ,Sydney,5/04/2007,
Multiple intelligences: new horizons,"Gardner, Howard","New York: Basic Books, 2006",Cognitive Development|Learning|Multiple Intelligences|Teaching,370.152 GAR,Sydney,14/07/2010,
Multiplex : the well built Australian,Multiplex Constructions,"Sydney: Multiplex, [nd]",Architecture - Australia|Construction Industry,720.922 MUL,Brisbane,,Aug-97
Multi-storey timber frame buildings : a design guide,"Grantham, Rob|Enjily, Vahik","Watford, England: BRE Press, 2005",Multi-Storey Buildings|Timber Structures,693 GRA,Sydney,9/11/2006,
Multitudes: Hassell 1938-2013,"Bruhn, Cameron (ed)","Melbourne: Uro Media, 2013",Hassell,720.922 HAS,Sydney,12/03/2013,
Munich Airport Terminal,,,Airports - Germany,725.39 MUN,Brisbane,,28/02/2018
Munster City Library: Architekturbu¨ro Bolles-Wilson + Partner,"Sanin, Francisco","London: Phaidon, 1994",Bolles + Wilson|Libraries - Public,727.82 SAN,Sydney,1/11/2016,
Murphy / Jahn : selected and current works,"Dobney, Stephen","Melbourne: Images Publishing, 1995","Jahn, Helmut|Murphy Jahn",720.92 JAHN,Brisbane,,
Museum of Australia report on siting [National Museum of Australia],National Capital  Development Commission,"Canberra: NCDC, 1981",Museums - Australia,Archives SYD01511322,Sydney,12/21/2010,
"Musical chairs : the quest for a City Recital Hall, Customs House, Angel Place","Murray, Lisa","Sydney: City of Sydney, 2005","PTW (Peddle Thorp & Walker)|Concert Halls|Recital Halls|LNPA (Lawrence Nield & Partners Australia)|Nield, Lawrence",725.81 MUR,Sydney,10/07/2006,
Mysteries of the mall: and other essays,"Rybczynski, Witold","New York: Farrar, Straus and Giroux, 2015",City Planning|Cities and Towns|Architecture and Society,307.1 RYB,Sydney,11/08/2016,
"Myth of San Siro : the stadium in Milan and other stadiums of the world, the history and visual impact of its architecture",,"Milan: Di Baio Editore, 1990",Stadiums|Stadiums - Italy,725.8043 SAN,Sydney,22/02/2006,
"Nano materials in architecture, interior architecture and design","Leydecker, Sylvia","Springer Science & Business Media, 2008",Nanomaterials,620.5 LEY,Brisbane,,21/05/2008
Naoto Fukasawa,"Fukasawa, Naoto","London ; New York : Phaidon, 2007",Industrial Design,745.2 FUK,Brisbane,,21/12/2009
Narrow houses: new directions in efficient energy design,"Friedman, AVI","New York, N.Y. : Princeton Architectural Press, 2010",Small Houses|Narrow Houses|Row Houses|Shotgun Houses,728 FRI,Brisbane|Sydney,12/20/2011,28/02/2011
National capital plan : the national responsibility for designated areas - Draft proposals Volume 1,National Capital Planning Authority,"Canberra: AGPS, July 1989",Canberra - History|Urban Planning - Canberra,Archives SYD01511323,Sydney,14/12/2006,
National capital plan : the national responsibility for designated areas - Draft proposals Volume 2,National Capital Planning Authority,"Canberra: AGPS, 1989",Canberra - History|Urban Planning - Canberra,Archives SYD01511323,Sydney,14/12/2006,
National Construction Code Series (NCC),Australian Building Codes Board (ABCB),Canberra: Australian Building Codes Board,Building Code of Australia|Building Regulations,Reference,Brisbane|Sydney,,
"National Indigenous housing guide: improving the living environment for safety, health and sustainability",,"Canberra: Department of Families, Community Services and Indigenous Affairs, 2007",Aboriginal Australians - Housing|Indigenous Housing,363.599915 NAT,Sydney,1/07/2009,
National Science and Technology Centre [Booklet compiled for opening],"Fitzgerald, Alan (ed)","Canberra: National Capital Planning Authority, 1989","Science and Technology Centres|LNPA (Lawrence Nield & Partners Australia)|Nield, Lawrence",727.609947 NAT,Sydney,2/08/2006,
NATSPEC Simple domestic specification 2021,Construction Information Systems Australia,"Sydney: CIS Construction Information Systems Australia, 2021",,Library Reference Shelf,Brisbane|Sydney,,
NATSPEC Simple office fitout 2021,Construction Information Systems Australia,"Sydney: CIS Construction Information Systems Australia, 2021",,Library Reference Shelf,Brisbane|Sydney,,
Natural ventilation in high-rise office buildings: an output of the CTBUH Sustainability Working Group,"Wood, Antony|Council on Tall Buildings and Urban Habitat (CTBUH)","New York: Routledge, 2013",Natural Ventilation|High Rise Buildings|Office Buildings,720.483 CTBUH,Brisbane,,9/30/2015
Navigating into the future: ASB North Wharf Auckland New Zealand,,"Auckland: ASB Bank, 2013","BVN Architecture (Bligh Voller Nield)|Grose, James|Jasmax|Office Buildings - New Zealand|Office Fitouts - Banking|Workplace Design",720.922 NAV,Brisbane|Sydney,6/25/2015,6/25/2015
Negotiating spaces: the new exhibition building of the Museum of Contemporary Art in Leipzig,"Grundei, Paul (ed)","Berlin: Jovis, 2010",Art Galleries|Exhibition Buildings,727.7 NEG,Sydney,5/29/2014,
Net positive: how courageous companies thrive by giving more than they take,"Polman, Paul|Winston, Andrew","Boston, MA: Harvard Business Review Press, [2021]",Business Ethics|Sustainability,658.408 POL,Sydney,3/03/2022,
Net zero energy buildings: international projects of carbon neutral buildings,"Voss, Karsten|Musall, Eike","Munich: EnOB, 2011",Energy Efficient Buildings|Carbon Neutral Buildings,720.47 VOS,Brisbane,,11/14/2013
Network practices: new strategies in architecture and design,"Burke, Anthony (ed)","New York: Princeton Architectural Press, 2007",Architecture and Technology,720.285 NET,Sydney,8/13/2015,
New Asian style: contemporary tropical living in Singapore,"Marsden, Jane Doughty","Singapore: Periplus, 2002",Interior Design,747.95 MAR,Brisbane,,9/11/2005
New Australia style,"Gollings, John","Sydney: Thames and Hudson, 1999",Architecture - Australia|Houses,728.0994 GOL,Brisbane|Sydney,18/04/2018,Oct-99
New Brazilian gardens: the legacy of Burle Marx,"Silva, Roberto","London: Thames & Hudson, 2006","Gardens|Landscape Design|Marx, Burle",712.60981 MAR,Brisbane,,21/06/2006
New choices in housing: a demonstration: Green Street joint venture case study: The Isabella Plains Demonstration Estate,,,,Archives SYD01511323,Sydney,12/22/2010,
New city life,"Gehl, Jan","Copenhagen: Danish Architectural Press, 2006",Urban Planning,721.5 GEH,Sydney,5/02/2012,
New city spaces,"Gehl, Jan|Gemzoe, Lars","Copenhagen: The Danish Architectural Press, 2000",Urban Planning,711.55 GEH,Brisbane,,Aug 2001 (JJV)
New conversations with an old landscape: landscape architecture in contemporary Australia,"Bull, Catherine","Mulgrave,Victoria: Images Publishing Group, 2002",Landscape Design - Australia,712.0994 BUL,Sydney,22/08/2007,
New dark age: technology and the end of the future,"Bridle, James","London: Verso Books, 2018",Big Data|Social Change|Technological Innovations,303.48 BRI,Sydney,1/11/2018,
New directions in tropical Asian architecture,"Goad, Philip|Pieris, Anoma|Bingham-Hall, Patrick","Sydney: Pesaro Publishing, 2005","Architecture - Asia|Architecture and Climate|Hill, Kerry|Tropical Architecture",720.95 GOA,Sydney,5/12/2007,
New environments for working : the re-design of offices and environmental systems for new ways of working,"Laing, Andrew|Duffy, Francis","London: DEGW, 1998",Environmentally Sustainable Design (ESD) - Case Studies|Workplace Design|Ventilation,725.23 LAI,Sydney,7/08/2006,
New exhibition design 1900-2000,"Mu¨ller, Anna (ed)","Stuttgart:av edition, [2014]",Exhibition Buildings,727.7 NEW,Sydney,10/20/2014,
New forms: plans and details for contemporary architects,"Leonardi, Nicola|The Plan","London : Thames & Hudson, 2009",Architectural Design|Architecture - Details,721 LEO,Sydney,7/30/2014,
New health facilities,"Broto, Charles","Barcelona: Links International, [2009]",Hospitals - Design and Construction - Case Studies|Healthcare Buildings - Design and Construction - Case Studies,725.51 BRO,Brisbane|Sydney,20/04/2009,31/03/2009
New health facilities : architectural design,"Mostaedi, Arian","Barcelona: Links International, [2001]",Hospitals - Design and Construction - Case Studies|Healthcare Buildings - Design and Construction - Case Studies,725.51 MOS,Brisbane|Sydney,26/10/2006,11/14/2013
New hospital buildings in Germany,"Meuser, Philipp|Schirmer, Christoph",,Health Centres|Healthcare Buildings|Hospitals - Design and Construction|Medical Centres,725.51 MEU Vol1,Sydney,26/06/2008,
New hospital buildings in Germany,"Meuser, Philipp|Schirmer, Christoph",,Healthcare Buildings|Hospitals - Design and Construction|Medical Clinics|Mental Health Facilities|Operating Theatres|Psychiatric Facilities|Maternity Facilities,725.51 MEU Vol2,Sydney,26/06/2008,
New housing in Vienna,,"Wien: Locker Verlag, 1991",Houses - Austria - Vienna|Architecture - Austria,728.3109436 NEW,Sydney,28/02/2006,
New international architecture: global design + urbanism XIX,,"Chicago: Metropolitan Arts Press, 2019",Architecture - Australia - 21st Century|Architecture Awards,720.922 NEW,Sydney,1/10/2019,
New libraries in old buildings: creative reuse,"International Federation of Library Associations and Institutions (IFLA)|Hauke, Petra (et al)","Berlin: Walter de Gryter, 2021",Adaptive Re-Use|Libraries - Public,727 IFLA,Sydney,7/05/2021,
New lobbies and waiting rooms,"Quartino, Daniela Santos","New York: Collins Design, 2008",Foyers|Lobbies|Waiting Rooms,725 QUA,Brisbane|Sydney,22/09/2008,9/02/2009
New minimalist architecture,"Petterson, Eduard","New York: Harper Design International, 2004","Architecture, Modern - 20th Century|Architecture, Modern - 21st Century",729.09 PET,Brisbane,,13/09/2004
New Monte Rosa Hut SAC: self-sufficient building in the high Alps,"Eidgenossische Technische Hochschule (ETH) Zurich|Institute for the History and Theory of Architecture, Faculty of Architecture ETH Zurich","Zurich: ETH Zurich, 2010",Huts|Sustainable Architecture|Sustainable Design,720.47 ETH,Sydney,6/28/2011,
New office,"Duffy, Francis","London: Conran Octopus, 1997",Office Fitouts|Workplace Design,725.23 DUF,Brisbane|Sydney,19/01/2006,
New playground design: design guidelines and case studies,"Broto, Carles","Barcelona, Spain: Links, 2012",Playgrounds|Play Spaces,711.558 BRO,Sydney,2/11/2015,
New public architecture,"Myerson, Jeremy","London: Laurence King, 1996",Civic Buildings|Concert Halls|Convention Centres|Educational Buildings|Law Courts|Libraries|Museums|Opera Houses|University Buildings,725 MYE,Sydney,25/05/2005,
New public spaces,"Gaventa, Sarah","London: Mitchell Beasley, 2006",Parks|Public Spaces|Squares|Streets|Urban Planning,711.55 GAV,Sydney,8/05/2008,
"New roles, skills and capabilities for the knowledge-focused organisation","Bishop, Karen|The One Umbrella","Sydney: Standards Australia, 2002",Knowledge Management|Organisational Behaviour,658.4038 BIS,Sydney,9/08/2006,
New scandinavian design,,"New York, NY : teNeues, c2005",Furniture - Design - Scandinavia|Architectural Design - Scandinavia,729 NEW,Brisbane,,25/06/2008
New terminal complex: architectural design brief,BVN,,Airports,725.3 BVN,Brisbane,,9/23/2021
New university environments,,"Tokyo: A+U Publishing, 2005","Gehry, Frank|University Buildings|Arets, Wiel|Libeskind, Daniel|Maki, Fumihiko|Larsen, Henning",727.3 ARC,Sydney,30/01/2007,
New urban design,"Broto, Charles","Barcelona: Arian Mostaedi, 2001",Landscape Design,712 BRO,Brisbane|Sydney,9/08/2017,
New Zealand journey,"Popp, Verena|Popp, Georg","Nelson, N.Z: Craig Potton, 2008",New Zealand - Pictorial Works,919.3 POP,Sydney,15/07/2010,
New Zealand landscapes,"Apse, Andris","Nelson, N.Z: Craig Potton, 2006",New Zealand - Pictorial Works,919.3 APS,Sydney,15/07/2010,
"Next generation planning: a handbook for planners, designers and developers in South East Queensland",Queensland. Department of Local Government and Planning,"Brisbane: Council of Mayors South East Queensland, 2011",City Planning|Urban Planning - Brisbane|Housing - Queensland|Sustainable development,307.1216 NEX,Brisbane,3/29/2012,
Noel Robinson 1973 - 1983,,"Brisbane: Interdesign, 1984","Architects - Australia|Robinson, Noel",720.60943 NOE,Brisbane,,
Norman Foster : criticism - a passion for perfection,"Webb, Michael",,"Foster, Norman",720.92 FOS,Sydney,14/12/2006,
Norman Foster sketch book,"Blaser, Werner","Basel, Switzerland: Birkhauser, 1993","Foster, Norman",720.92 FOS,Brisbane,,Jan-94
No-stop city,"Branzi, Andrea","Orle´ans, France: HYX, 2006",City Planning|Urban Planning,711.4 BRA,Sydney,8/13/2015,
Nursery schools,,,Childcare Facilities|Nurseries|Preschools,725.57 DET,Sydney,2/02/2009,
Oblique drawing: a history of anti-perspective,"Scolari, Massimo","Cambridge, MA: MIT Press, 2012",Drawing,741.018 SCO,Sydney,10/20/2014,
O'Donnell + Tuomey,,"New York: Princeton Architectural Press, 2007","O'Donnel & Tuomey|O'Donnell, Sheila|Tuomey, John",720.922 ODO,Sydney,22/10/2008,
Office buildings,,"Munich: Detail Magazine, 2002",Office Buildings,725.23 DET,Sydney,7/19/2011,
Office buildings : a design manual,"Hascher, Rainer|Jeska, Simone|Klauck, Birgit","Basel, Switzerland: Birkhauser, 2002",Office Buildings|Office Fitouts|Workplace Design - Case Studies,725.23 HAS,Brisbane|Sydney,27/02/2006,
Office buildings in Finland,Association of Finnish Architects' Offices ATL,"Helsinki, Finland: Rakennustieto Publishing, 2007",Architecture - Finland|Office Buildings - Finland|Workplace Design,725.230489 OFF,Sydney,11/10/2007,
Office interiors,"Chueca, Pilar","Barcelona: Links Books, 2007",Office Fitouts|Interior Design|Workplace Design,725.23 CHU,Brisbane|Sydney,8/05/2008,12/05/2008
Office interiors and businss buildings,"Broto, Carles (ed)","Barcelona, Spain: Links, [2011]",Office Buildings|Workplace Design,725.23  OFF,Sydney,9/05/2011,
Offices,"Van Uffelen, Chris","[Berlin]: Braun, 2007",Office Buildings|Office Fitouts|Workplace Design,725.23 VAN,Sydney,8/05/2008,
Offices,"Van Uffelen, Chris","[Berlin]: Braun, 2013",Office Buildings|Office Fitouts|Workplace Design,725.23 VAN,Brisbane|Sydney,7/22/2013,9/08/2017
Offices at work: uncommon workspace strategies that add value and improve performance,"Becker, Franklin","San Francisco: John Wiley & Sons, 2004",Office Layout|Organisational Behaviour|Workplace Design,725.23 BEC,Brisbane|Sydney,24/06/2009,16/08/2010
